# possible status values: core, new, unknown
# name                                 url                                                                  status
2025-pythian-docs                    git@github.com:Chrome-River/2025-pythian-docs.git                    unknown
3mr_analysis                         git@github.com:Chrome-River/3mr_analysis.git                         unknown
aces-async                           git@github.com:Chrome-River/aces-async.git                           unknown
activity-log                         git@github.com:Chrome-River/activity-log.git                         unknown
admin-app                            git@github.com:Chrome-River/admin-app.git                            unknown
aggregator                           git@github.com:Chrome-River/aggregator.git                           unknown
agile                                git@github.com:Chrome-River/agile.git                                unknown
allocation                           git@github.com:Chrome-River/allocation.git                           unknown
allocationapi                        git@github.com:Chrome-River/allocationapi.git                        unknown
analytics                            git@github.com:Chrome-River/analytics.git                            unknown
analytics-reporting                  git@github.com:Chrome-River/analytics-reporting.git                  unknown
analytics-sync                       git@github.com:Chrome-River/analytics-sync.git                       unknown
ansible                              git@github.com:Chrome-River/ansible.git                              unknown
api-contracts                        git@github.com:nthakral-emburse/api-contracts.git                    new
apollo                               git@github.com:Chrome-River/Apollo.git                               core
approval-notifier                    git@github.com:Chrome-River/approval-notifier.git                    unknown
as-artifactory-automation            git@github.com:Chrome-River/as-artifactory-automation.git            unknown
atlas-superjob                       git@github.com:Chrome-River/atlas-superjob.git                       unknown
audit                                git@github.com:Chrome-River/audit.git                                unknown
authentication                       git@github.com:Chrome-River/authentication.git                       unknown
authorization                        git@github.com:Chrome-River/authorization.git                        unknown
authorized-user                      git@github.com:Chrome-River/authorized-user.git                      unknown
automation-core                      git@github.com:Chrome-River/automation-core.git                      unknown
automation-customer-config           git@github.com:Chrome-River/automation-customer-config.git           unknown
automerge                            git@github.com:Chrome-River/automerge.git                            unknown
aws-configure-profile                git@github.com:Chrome-River/aws-configure-profile.git                unknown
az-opinionated-agentic-workspace     git@github.com:Chrome-River/az-opinionated-agentic-workspace.git     unknown
ba-cron-config                       git@github.com:Chrome-River/ba-cron-config.git                       unknown
boomi-infrastructure                 git@github.com:Chrome-River/boomi-infrastructure.git                 unknown
budget                               git@github.com:Chrome-River/budget.git                               unknown
budgetapi                            git@github.com:Chrome-River/budgetapi.git                            unknown
butler                               git@github.com:Chrome-River/butler.git                               unknown
butler-lambdas                       git@github.com:Chrome-River/butler-lambdas.git                       unknown
butler-mule                          git@github.com:Chrome-River/butler-mule.git                          unknown
camel-common                         git@github.com:Chrome-River/camel-common.git                         unknown
camel-kratos                         git@github.com:Chrome-River/camel-kratos.git                         unknown
capture-email                        git@github.com:Chrome-River/capture-email.git                        unknown
cards                                git@github.com:Chrome-River/cards.git                                unknown
cf-argo-system_git-source            git@github.com:Chrome-River/cf-argo-system_git-source.git            unknown
chatops                              git@github.com:Chrome-River/ChatOps.git                              unknown
chemo-tool                           git@github.com:Chrome-River/chemo-tool.git                           unknown
chronos                              git@github.com:Chrome-River/chronos.git                              unknown
cm                                   git@github.com:Chrome-River/cm.git                                   unknown
codefresh-cicd                       git@github.com:Chrome-River/codefresh-cicd.git                       unknown
